account_id,customer_id,account_typeid,account_status_id,balance,opening_date
200094,10123,3,1,48348.54,6/12/2018
201108,10077,3,1,35001.41,10/30/2019
201453,10321,3,2,57081.03,5/24/2020
200581,10871,5,1,63164.33,1/27/2021
200003,10765,1,1,58739.64,9/12/2018
201097,10903,1,1,45430.05,7/18/2021
201343,10681,5,1,15435.59,7/24/2018
201250,11038,5,1,52166.08,7/10/2018
201001,10655,4,2,14569.86,7/9/2021
200342,10672,4,1,76080.75,6/4/2019
200892,10352,2,1,81466.67,5/25/2021
200919,10981,4,1,7162.42,8/24/2019
200883,10262,5,1,96755.41,1/15/2018
200478,10207,2,1,97341.47,5/20/2019
201012,10509,1,3,85030.52,8/26/2020
200910,10582,3,3,63487.32,1/21/2018
201488,10796,4,1,30363.58,2/8/2021
200828,10792,3,1,42829.95,5/5/2020
200757,10535,3,1,75543.44,11/10/2018
201331,11051,1,1,15923.19,11/24/2020
200761,10583,5,1,66945.73,2/14/2020
200611,10777,3,1,52143.22,2/26/2019
200164,10556,1,1,64746.74,7/9/2020
201595,11083,1,1,21641.13,10/25/2020
201025,10181,1,1,21398.11,4/3/2018
201302,10877,5,1,13689.45,2/4/2021
200806,10133,3,1,44471.11,8/11/2021
200975,10997,2,2,58687.34,9/8/2018
200473,10562,5,1,10594.45,2/23/2020
200949,10327,2,2,5215.19,10/9/2019
200241,10770,2,1,22583.96,1/3/2020
200816,10298,2,1,17693.91,8/28/2018
200262,10850,4,1,70727.24,9/5/2019
200730,10738,1,1,47523.73,5/28/2018
200855,10812,4,1,24602.31,3/1/2019
200985,10828,1,1,11914.04,7/27/2019
200960,10739,2,1,52107.05,12/30/2021
201479,10519,5,1,43902.35,10/1/2020
200350,10419,4,1,76198.19,5/2/2019
201495,10428,2,1,28566.86,3/4/2020
201248,10923,2,1,13715.4,5/17/2021
201054,10692,5,2,17254.85,12/30/2018
200588,10296,5,1,48270.26,7/2/2020
200124,10661,2,3,46628.24,11/29/2021
201130,10331,4,1,72455.96,2/2/2020
200634,10324,3,1,72073.9,3/25/2021
200595,10991,1,2,38432.58,11/11/2021
200798,10224,5,3,8837.62,2/9/2020
200901,10936,4,1,22947.15,11/4/2018
200088,10024,3,1,26174.79,1/30/2019
201383,10066,2,1,29435.63,4/24/2019
200641,10528,3,1,74153.48,1/12/2020
200931,10340,3,2,14835.88,8/18/2018
201543,10236,5,1,3399.25,6/16/2018
200836,10883,5,1,-233.87,1/19/2019
201028,10145,3,1,6784.78,2/7/2018
201512,10194,2,1,61227.34,8/25/2019
200357,10030,1,1,33379.74,8/15/2020
200374,10745,3,1,82926.12,2/13/2018
201168,11042,1,1,8278.63,8/29/2020
200835,10913,4,3,70736.67,11/22/2021
200672,10736,1,1,33094.26,9/7/2020
201115,10014,1,2,83513.23,6/18/2021
201498,10723,1,1,60251.22,10/24/2020
201377,10592,2,3,4677.54,12/29/2020
201249,10072,4,1,42979.84,4/6/2020
201450,10657,4,1,45858.74,7/4/2019
200978,10619,2,1,47109.88,3/8/2020
201134,10390,1,1,61924.24,7/20/2021
201407,10152,2,1,43249.76,12/19/2021
201475,10718,4,1,80350.86,2/1/2018
201224,10072,3,1,78730.2,8/29/2020
200299,10053,1,1,77758.44,10/12/2018
200559,10568,1,1,69307.18,2/3/2021
200444,10779,1,1,4103.36,2/10/2019
201375,10956,2,1,93655.02,
