loan_id,account_id,loan_status_id,principal_amount,interest_rate,start_date,estimated_end_date
400230,200876,1,76958.56,0.0547,11/20/2022,8/6/2026
400307,200789,1,29013.67,0.0321,2/22/2022,12/8/2025
400233,201275,1,48596.76,0.1017,11/21/2021,7/30/2023
400100,200070,1,9191.43,0.0999,8/14/2021,9/18/2023
400141,200808,1,76322.83,0.0906,6/4/2021,10/23/2024
400320,201246,2,93715.1,0.0784,3/9/2022,12/28/2025
400267,200148,1,19627.15,0.0864,6/29/2021,7/25/2024
400317,201509,2,40473.32,0.1276,1/21/2022,4/30/2025
400323,200934,1,41206.98,0.1411,9/14/2021,11/18/2023
400034,200404,1,97362.97,0.1145,2/2/2023,1/11/2027
400237,200397,3,78955.6,0.0312,6/30/2021,5/14/2025
400072,201573,1,5446.88,0.1015,10/23/2022,10/5/2026
400153,201498,1,87408.64,0.0855,3/13/2026,10/12/2026
400194,200907,2,47361.17,0.0562,5/13/2022,6/2/2025
400156,201015,1,86224.07,0.1479,11/5/2021,2/3/2023
400290,200660,1,41039.33,0.0914,8/12/2021,6/19/2026
400053,200900,2,68008.02,0.086,2/14/2021,11/23/2024
400079,201254,1,94432.05,0.0512,6/3/2021,8/23/2025
400278,201187,1,88397.27,0.1002,9/17/2021,5/30/2024
400120,200849,1,6931.92,0.0381,7/9/2022,11/28/2025
400017,201263,1,62585.34,0.1008,1/29/2021,10/20/2023
400226,201525,1,31038.04,0.139,7/6/2022,5/6/2024
400300,200592,1,28348.12,0.1141,8/4/2022,6/24/2024
400130,200113,2,37599.36,0.1106,6/26/2022,11/14/2023
400191,200701,1,83515.17,0.0796,12/4/2021,7/6/2024
400181,201394,2,60739.7,0.0336,12/26/2022,7/5/2026
400140,201276,1,88432.42,0.0675,4/26/2022,11/7/2024
400041,200123,3,63515.6,0.0754,5/28/2022,5/16/2024
400024,201126,2,81509.04,0.0846,3/22/2021,8/10/2024
400095,200694,1,99830.33,0.143,7/24/2022,1/20/2027
400328,201273,1,16019.02,0.1067,3/8/2023,2/24/2025
400143,201218,1,4806.2,0.0899,9/27/2021,3/12/2023
400202,201346,1,16092.64,0.0976,9/28/2022,10/24/2023
400111,201428,1,87544.32,0.0655,5/2/2021,3/1/2024
400006,200822,2,28952.23,0.0345,12/29/2021,12/17/2025
400262,201288,1,46195.74,0.1118,1/1/2021,1/25/2022
400302,200932,1,76955.79,0.1077,6/27/2021,1/14/2025
400198,201044,1,26204.77,0.1407,10/3/2022,10/13/2026
400304,200311,1,5763.32,0.1186,10/10/2021,11/8/2024
400126,201381,1,80854.81,0.1319,3/3/2022,5/1/2026
400101,200346,1,83796.69,0.1315,10/26/2022,11/7/2025
400177,200177,2,10195.48,0.0953,9/18/2021,7/13/2023
400090,201578,1,18048.87,0.0678,3/5/2023,4/26/2026
400032,200333,1,82144.49,0.132,3/18/2022,4/4/2023
400039,200466,1,72665.87,0.1324,10/15/2022,5/15/2027
400076,200005,1,27208.83,0.0873,1/22/2021,9/23/2025
400265,201477,1,52160.39,0.0984,2/6/2021,2/18/2025
400303,200252,1,41063.62,0.0579,8/19/2022,10/16/2025
400182,200087,2,87988.21,0.0612,5/29/2021,1/31/2024
400296,200335,1,64568.16,0.0476,6/14/2021,7/20/2023
400306,201149,3,44352.65,0.0327,6/19/2021,8/29/2024
400179,200715,1,95797.71,0.1006,7/7/2022,5/27/2027
400261,201449,3,59380.52,0.0677,2/20/2021,11/27/2022
400069,201265,1,47566.87,0.1065,4/22/2021,12/29/2023
400083,200846,1,35657.3,0.0748,8/28/2022,3/4/2025
400301,200075,1,27657.83,0.048,3/5/2023,1/8/2028
400189,200689,1,2117.59,0.0329,5/19/2021,9/3/2024
400246,201249,1,74412.22,0.1066,7/31/2021,10/18/2025
400251,200119,1,75297.62,0.0918,10/29/2022,1/1/2025
400119,200802,3,41375.81,0.0703,7/24/2021,8/30/2024
400321,200312,1,1396.1,0.1229,5/3/2021,12/22/2025
400062,201073,1,79515.81,0.1193,10/23/2021,6/6/2023
400282,200498,1,73755.24,0.048,3/5/2023,4/19/2026
400160,201504,1,23193.37,0.1402,7/9/2021,10/30/2024
400291,200343,1,40879.03,0.0473,11/1/2021,10/4/2026
400308,201515,2,76525.78,0.1099,4/8/2022,11/25/2023
400324,200598,1,83919.49,0.1321,1/22/2021,8/21/2023
400200,201599,1,35902.5,0.0358,8/30/2022,5/23/2027
400285,200270,3,14857.72,0.0731,5/24/2022,8/7/2023
400009,201103,1,82121.58,0.0766,11/2/2022,4/16/2025
400020,200017,1,89097.17,0.1232,9/21/2021,10/23/2025
400112,201077,2,7431.11,0.0634,2/19/2021,2/10/2024
400295,200050,2,54953.1,0.0674,1/3/2021,1/19/2023
400244,200420,1,34846.6,0.0816,7/26/2021,5/16/2026
400254,200785,1,87783.19,0.108,10/30/2021,10/14/2023
400057,201317,2,83339.02,0.0924,4/24/2021,5/6/2023
400019,201054,1,17917.14,0.0362,11/1/2022,6/27/2025
400001,201103,1,63899,0.0793,4/10/2021,2/10/2025
400180,201470,1,38913.5,0.1236,3/10/2022,8/15/2023
400010,200002,1,42380.44,0.0809,5/4/2022,1/24/2025
400108,200846,2,27885.31,0.103,4/2/2021,7/25/2023
400175,200310,2,16484.84,0.0329,6/3/2022,8/15/2023
400174,200119,1,83659.7,0.0693,1/9/2023,1/8/2025
400151,201643,1,99063.01,0.0682,7/22/2022,9/28/2026
400293,200851,1,70782.7,0.0847,4/19/2021,1/20/2023
400313,200812,1,35479.87,0.1219,9/11/2022,10/30/2023
400187,201022,1,1473.13,0.0947,1/23/2021,10/31/2025
400149,201143,2,99065.5,0.0484,8/23/2021,3/25/2026
400222,200427,1,3322.19,0.1456,5/11/2021,11/6/2022
400048,201489,1,99830.19,0.1134,10/31/2022,3/9/2024
400040,200648,2,11854.46,0.0725,6/26/2021,3/2/2025
400124,200063,3,89209.9,0.0429,12/27/2022,2/20/2025
400268,200514,2,8523.16,0.0305,4/17/2021,5/17/2025
400007,200255,2,64001.15,0.0792,12/5/2022,4/3/2027
400104,201597,2,36389.88,0.0511,8/19/2022,5/31/2024
400094,201223,3,7563.51,0.0422,11/15/2022,7/2/2025
400096,201433,1,58140.94,0.0817,3/14/2022,6/30/2026
400148,200716,1,17620.82,0.0488,7/15/2022,5/21/2027
400255,201629,1,27852.86,0.064,9/24/2021,7/3/2024
400116,200637,2,8683.56,0.1288,8/21/2021,12/22/2022
400247,200116,2,43125.92,0.0992,1/1/2023,1/11/2027
400234,200817,2,38023.02,0.1116,10/26/2021,2/6/2025
400085,200315,1,35193.45,0.1363,1/12/2022,3/11/2024
400256,200663,1,84671.11,0.0678,4/4/2021,1/23/2025
400058,200883,1,50198.39,0.0968,8/13/2022,5/14/2027
400137,200101,2,89648.09,0.1181,6/9/2022,9/10/2026
400070,200676,3,28930.44,0.1018,6/21/2022,6/7/2027
400117,200262,1,59673.83,0.1411,11/13/2022,3/31/2026
400216,200003,1,57741.55,0.0734,2/24/2023,3/31/2026
400203,200770,1,14254.2,0.0964,5/11/2022,6/5/2023
400049,200684,1,8876.03,0.094,1/27/2023,9/11/2026
400033,201128,1,13516.43,0.0991,8/17/2021,2/28/2024
400196,201336,1,78063.86,0.1359,5/1/2022,8/14/2026
400106,200834,1,11879.52,0.088,9/13/2022,11/24/2026
400050,200578,1,79026.18,0.0883,11/5/2022,9/23/2025
400299,201121,1,27223.9,0.0417,7/2/2021,5/18/2026
400114,201541,3,55584.62,0.1377,7/2/2022,12/12/2023
400232,200683,2,30825.35,0.1469,2/9/2023,
400121,200360,1,16268.74,0.0609,12/18/2022,4/10/2027
400107,200498,1,68503.05,0.1277,2/3/2023,2/22/2027
400035,201081,2,50421.73,0.0681,11/25/2021,7/8/2025
400123,200717,1,64860.93,0.0919,2/16/2023,1/24/2027
400051,200946,1,58822.33,0.1198,2/27/2021,10/27/2022
400158,200223,1,38787.45,0.1085,1/27/2021,12/5/2024
400309,200157,1,47661.39,0.0686,11/29/2021,8/26/2026
400133,200391,3,87987.99,0.0402,2/16/2023,10/14/2024
400224,201172,2,78661.15,0.1195,2/18/2022,6/15/2023
400003,200512,1,15797.11,0.0636,10/30/2021,1/21/2025
400318,200941,2,43704.85,0.0446,3/18/2022,
400314,200982,1,74680.25,0.087,,8/31/2024
400322,201361,1,79157.89,0.1236,2/20/2023,3/18/2025
400142,200768,1,62681.63,0.0977,4/18/2021,2/24/2026
400201,200414,1,79637.45,0.0483,8/21/2022,1/11/2027
400075,200206,1,90788.26,0.0425,3/6/2022,2/15/2026
400065,201638,2,40746.65,0.0522,9/7/2021,12/7/2022
400074,200205,2,56372.03,0.0489,1/30/2023,2/24/2026
400287,200111,1,44265.25,0.1135,7/19/2021,6/20/2026
400289,200746,1,15581.58,0.0969,2/1/2022,12/3/2024
400264,201456,3,70349.1,0.1297,7/28/2022,9/2/2025
400227,200012,1,88591.01,0.0846,11/4/2022,7/8/2024
400078,201604,1,97866.11,0.1054,4/16/2021,11/18/2024
400195,201524,3,85139.66,0.0573,7/18/2022,5/23/2025
400199,200911,3,78332.61,0.1131,3/25/2021,7/3/2023
400103,201580,1,48726.88,0.0642,12/27/2021,7/29/2025
400236,201198,3,13704.05,0.0413,1/10/2021,7/10/2025
400118,200948,1,17211.8,0.046,5/7/2022,9/14/2023
400029,201214,1,3658.5,0.0865,8/2/2021,1/2/2023
400250,201229,3,88517,0.075,5/10/2022,12/20/2023
400157,200436,1,20469.85,0.0382,11/8/2022,4/12/2026
400016,200225,1,81786.64,0.136,6/1/2022,1/9/2026
400286,201206,1,23406.84,0.0676,6/24/2021,11/23/2024
400139,201086,1,8731.49,0.0763,6/13/2022,1/16/2024
400252,200279,3,23508.35,0.0607,9/16/2021,3/31/2026
400207,200613,1,36852.66,0.0527,12/21/2022,7/2/2024
400188,200424,1,75583.81,0.0829,2/18/2023,10/9/2024
400071,200788,1,98478.6,0.0833,8/19/2021,11/23/2022
400026,201235,1,36366.26,0.0968,9/30/2021,11/12/2022
400280,201619,3,64238.32,0.147,11/3/2021,9/10/2026
400208,200943,1,6507.99,0.0969,4/13/2021,1/21/2024
400329,201552,1,28696.43,0.1398,2/20/2022,5/20/2023
400279,200517,2,65043.15,0.1027,4/3/2022,9/8/2024
400099,200211,1,58849.83,0.1063,12/7/2021,7/20/2026
400220,200300,1,64057.79,0.1046,8/6/2021,10/9/2025
400044,201292,1,43976.71,0.1051,6/22/2021,4/18/2025
400109,200903,1,1128.49,0.0853,5/29/2022,4/18/2026
400326,200931,1,64509.02,0.0775,10/24/2022,11/24/2025
400087,201406,2,82452.32,0.1001,6/9/2022,4/22/2027
400159,200578,1,70814.41,0.1138,3/15/2022,12/8/2024
400146,201527,1,16811.7,0.0596,1/10/2021,8/13/2022
400134,201434,1,83896.24,0.0974,2/21/2021,8/19/2023
400273,200056,1,15613.66,0.073,11/6/2022,4/12/2025
400122,201280,1,47753.35,0.0844,9/25/2022,12/7/2023
400276,201022,1,82590.09,0.1426,11/24/2021,9/22/2025
400064,200511,2,16385.38,0.1002,3/13/2022,12/5/2024
400217,200410,2,14932.62,0.1226,2/9/2023,12/29/2024
400081,200617,2,36519.6,0.1388,3/11/2022,10/7/2026
400059,200639,1,52339.53,0.0621,9/29/2022,3/29/2027
400183,200619,1,68151.05,0.1453,,6/18/2024
400154,200317,1,72913.28,0.0776,5/11/2021,6/10/2023
400036,201088,2,97550.01,0.0783,12/17/2021,6/24/2025
400292,200126,1,24768.37,0.0979,6/9/2021,8/2/2024
400164,200756,3,22340.97,0.1426,1/27/2023,6/16/2024
400209,201322,2,87020.31,0.0353,4/29/2022,5/20/2023
400012,201356,2,27964.95,0.0722,5/4/2021,8/21/2022
400089,200982,1,2318.99,0.0924,1/2/2023,4/28/2027
400005,200353,3,65948.85,0.072,7/17/2021,10/21/2023
400145,200232,1,52660.1,0.0554,2/23/2023,12/4/2027
400272,200265,1,28872.26,0.1195,5/23/2022,3/22/2024
400277,201438,2,59895.91,0.0974,2/23/2023,3/13/2024
400281,200475,1,98439.14,0.1057,4/17/2022,2/23/2027
400004,201107,1,37284.69,0.0718,3/25/2021,2/11/2023
400060,200266,2,99733.08,0.1017,1/18/2022,7/4/2024
400192,200376,1,72508.87,0.0552,8/5/2021,8/12/2022
400025,200180,1,10436.77,0.1284,2/24/2021,6/16/2025
400186,200971,2,43412.87,0.0562,12/1/2022,8/4/2026
400270,200824,1,77144.41,0.0456,,9/27/2024
400127,201065,1,58856.94,0.0365,7/2/2021,9/17/2025
400028,201494,3,38941.88,0.1249,8/31/2021,1/5/2024
